N,rel_error_wide,rel_error_narrow
100,0.0736089835,0.0790698308
600,0.0736089835,0.0029815735
1100,0.1110389236,0.0017239164
1600,0.0100235388,0.0674865284
2100,0.0636341301,0.0227447572
2600,0.0538143037,0.0167055979
3100,0.0459253412,0.0092907260
3600,0.0178864255,0.0223811789
4100,0.0434824464,0.0196255805
4600,0.0472246274,0.0323558582
5100,0.0151953841,0.0229191383
5600,0.0550564355,0.0150523316
6100,0.0094872009,0.0144813052
6600,0.0199658667,0.0007806735
7100,0.0278736005,0.0089041722
7600,0.0234971887,0.0050749107
8100,0.0204279647,0.0070806042
8600,0.0101731498,0.0086117828
9100,0.0134876078,0.0082682387
9600,0.0521647470,0.0201475274
10100,0.0063462694,0.0104465781
10600,0.0095190390,0.0074189676
11100,0.0079950300,0.0084223176
11600,0.0052832093,0.0060822314
12100,0.0013011447,0.0017060577
12600,0.0213258926,0.0073940979
13100,0.0303931176,0.0028759687
13600,0.0346213395,0.0042407076
14100,0.0351634842,0.0093809286
14600,0.0173380798,0.0015192885
15100,0.0075098767,0.0014240776
15600,0.0009509772,0.0032704336
16100,0.0020038808,0.0000600594
16600,0.0007999335,0.0071901792
17100,0.0148767081,0.0098986878
17600,0.0123629101,0.0043178342
18100,0.0269766549,0.0087904209
18600,0.0177019590,0.0095138588
19100,0.0159453193,0.0000242929
19600,0.0135684024,0.0038991499
20100,0.0085721349,0.0034193382
20600,0.0361336188,0.0047276412
21100,0.0238502243,0.0031454862
21600,0.0202366616,0.0003809126
22100,0.0046769219,0.0005552315
22600,0.0284124460,0.0028336996
23100,0.0303863146,0.0031270469
23600,0.0029520416,0.0071435660
24100,0.0066867800,0.0072936419
24600,0.0021257834,0.0077898115
25100,0.0243983053,0.0040182154
25600,0.0056006650,0.0027196418
26100,0.0174920488,0.0017889676
26600,0.0109208696,0.0029993900
27100,0.0118514424,0.0109037039
27600,0.0169216105,0.0010784718
28100,0.0010801495,0.0057817457
28600,0.0315003009,0.0045536450
29100,0.0120618140,0.0113962074
29600,0.0220207198,0.0004302464
30100,0.0397541623,0.0029014207
30600,0.0103695096,0.0104412066
31100,0.0090694164,0.0001322400
31600,0.0211799707,0.0080161820
32100,0.0152485941,0.0053577512
32600,0.0281419397,0.0031080332
33100,0.0168843988,0.0038383762
33600,0.0016176181,0.0027621017
34100,0.0301419563,0.0020890426
34600,0.0251177389,0.0035157159
35100,0.0008818635,0.0015707154
35600,0.0246971793,0.0063818404
36100,0.0008102394,0.0003181971
36600,0.0131432675,0.0062034471
37100,0.0060179173,0.0029442845
37600,0.0109188113,0.0018041924
38100,0.0325441149,0.0100356731
38600,0.0039902640,0.0041822125
39100,0.0193786483,0.0005756207
39600,0.0036877760,0.0046691741
40100,0.0118684918,0.0049135356
40600,0.0014352806,0.0053666679
41100,0.0049874267,0.0028805938
41600,0.0045750376,0.0062405985
42100,0.0073508770,0.0076816264
42600,0.0184502177,0.0068785393
43100,0.0079328996,0.0087020905
43600,0.0053808989,0.0086474283
44100,0.0129232530,0.0065577687
44600,0.0099109465,0.0038811086
45100,0.0231698570,0.0003926286
45600,0.0070189860,0.0019787255
46100,0.0001496814,0.0053759811
46600,0.0223637008,0.0002503524
47100,0.0052059667,0.0068586822
47600,0.0167367059,0.0026909385
48100,0.0087680322,0.0054262917
48600,0.0058141146,0.0015017413
49100,0.0001836478,0.0027521648
49600,0.0250481641,0.0026804192
50100,0.0110379668,0.0011591003
50600,0.0258044405,0.0028282557
51100,0.0021298776,0.0084431710
51600,0.0081783371,0.0066814254
52100,0.0056459829,0.0013864315
52600,0.0056450008,0.0036785451
53100,0.0007228102,0.0061630861
53600,0.0007096988,0.0028128002
54100,0.0102513724,0.0032067505
54600,0.0234624612,0.0046576571
55100,0.0029947862,0.0064211826
55600,0.0060364973,0.0044953792
56100,0.0102414214,0.0080414215
56600,0.0014108615,0.0011491414
57100,0.0179065464,0.0013340647
57600,0.0255381534,0.0082587372
58100,0.0234715466,0.0061365396
58600,0.0274123894,0.0052715397
59100,0.0187465714,0.0014776829
59600,0.0076355740,0.0020879195
60100,0.0156218761,0.0013114109
60600,0.0177265771,0.0009954714
61100,0.0011896365,0.0044193371
61600,0.0147905063,0.0036660428
62100,0.0226932496,0.0081610552
62600,0.0104683817,0.0025764273
63100,0.0131739045,0.0096906676
63600,0.0155666717,0.0039355408
64100,0.0190461762,0.0021830299
64600,0.0058903419,0.0109052029
65100,0.0117863367,0.0005271136
65600,0.0056300855,0.0096983446
66100,0.0022276991,0.0053884363
66600,0.0025145778,0.0035735788
67100,0.0059589689,0.0052653586
67600,0.0351094889,0.0009453224
68100,0.0204046047,0.0037831814
68600,0.0107392336,0.0035422938
69100,0.0145761720,0.0012598027
69600,0.0008464707,0.0017293373
70100,0.0202194932,0.0039059383
70600,0.0168941416,0.0056171312
71100,0.0016576887,0.0046451833
71600,0.0081980722,0.0018488136
72100,0.0107641234,0.0010724116
72600,0.0303158122,0.0041356226
73100,0.0114404426,0.0038994396
73600,0.0006053436,0.0032306718
74100,0.0140165789,0.0005469949
74600,0.0084885224,0.0057725271
75100,0.0109723961,0.0063157884
75600,0.0097171926,0.0030022793
76100,0.0050325132,0.0000183945
76600,0.0102419005,0.0057506060
77100,0.0155723393,0.0006668971
77600,0.0026617545,0.0009313979
78100,0.0037550123,0.0037761194
78600,0.0171664435,0.0056480947
79100,0.0012570513,0.0037773477
79600,0.0012626523,0.0037810390
80100,0.0078630521,0.0054640417
80600,0.0094997623,0.0000036099
81100,0.0031682362,0.0014633906
81600,0.0072484023,0.0015196369
82100,0.0042484832,0.0013218031
82600,0.0075156535,0.0017749893
83100,0.0107435078,0.0010837371
83600,0.0021965979,0.0028160923
84100,0.0028659517,0.0030719296
84600,0.0007289968,0.0010166167
85100,0.0022457899,0.0030140864
85600,0.0072320571,0.0003476918
86100,0.0024768820,0.0008124436
86600,0.0025799620,0.0046783718
87100,0.0054207431,0.0049987343
87600,0.0250932557,0.0019866461
88100,0.0133168478,0.0010108633
88600,0.0236307056,0.0032314016
89100,0.0079910639,0.0068002043
89600,0.0044513208,0.0025459419
90100,0.0078054041,0.0013560176
90600,0.0007837883,0.0026609126
91100,0.0054828218,0.0009515387
91600,0.0251768476,0.0016147638
92100,0.0119166393,0.0063013291
92600,0.0086926944,0.0010222853
93100,0.0106997475,0.0034228868
93600,0.0122454760,0.0011642610
94100,0.0044769582,0.0028566097
94600,0.0000547990,0.0024877727
95100,0.0147286572,0.0026106242
95600,0.0022982302,0.0031407540
96100,0.0048446139,0.0037733348
96600,0.0037501007,0.0048504833
97100,0.0107722099,0.0067137844
97600,0.0003209007,0.0043990150
98100,0.0106465365,0.0027911942
98600,0.0040826800,0.0013890939
99100,0.0142626165,0.0068671129
99600,0.0035405867,0.0014145443
